First,Run_Time,Third,Fourth,Fifth
9.8112,374.05,756,0.49478,0.005461
10.313,383.12,770,0.49756,0.0054918
10.519,382.05,774,0.4936,0.0054481
9.548,385.5,778,0.4955,0.005469
10.134,361.88,734,0.49302,0.0054417
10.932,443.03,894,0.49556,0.0054697
11.022,456.94,922,0.4956,0.0054701
10.153,379.34,768,0.49393,0.0054517
10.139,368.92,748,0.49321,0.0054437
11.007,431.48,872,0.49482,0.0054615
9.9524,362.48,730,0.49655,0.0054806
10.481,396.52,796,0.49814,0.0054982
10.444,374.46,760,0.49271,0.0054382
10.608,394.27,796,0.49531,0.005467
10.56,387.83,778,0.4985,0.0055021
9.6745,360.47,730,0.49379,0.0054502
10.153,377.94,760,0.49729,0.0054888
9.417,367.66,744,0.49417,0.0054543
10.412,455.35,920,0.49495,0.0054629
10.132,374.48,752,0.49798,0.0054964
10.127,375.44,754,0.49793,0.0054959
10.964,442.58,894,0.49506,0.0054641
9.8686,355.1,720,0.49319,0.0054436
9.7357,378.99,768,0.49348,0.0054467
9.8687,374.77,758,0.49442,0.0054571
10.138,380.03,768,0.49483,0.0054616
10.079,427.89,858,0.49871,0.0055044
10.123,445.37,880,0.5061,0.0055861
10.012,368.51,738,0.49934,0.0055114
10.545,405.07,808,0.50132,0.0055333
10.536,401.09,796,0.50388,0.0055615
10.41,436.65,856,0.51011,0.0056302
9.8386,380.06,754,0.50406,0.0055635
10.354,385.4,760,0.50711,0.0055971
10.443,384.69,756,0.50885,0.0056164
10.402,444.5,878,0.50626,0.0055878
10.031,381.75,752,0.50765,0.0056031
10.286,419.79,824,0.50945,0.005623
10.569,393.58,776,0.50719,0.0055981
10.117,378.44,754,0.50191,0.0055398
10.088,375.37,744,0.50453,0.0055687
10.246,445.17,876,0.50818,0.005609
9.4615,264.27,534,0.49489,0.0054623
9.4559,267.69,536,0.49942,0.0055123
9.5397,274.08,554,0.49473,0.0054605
9.4604,264.7,534,0.49569,0.0054712
9.8178,279.98,566,0.49466,0.0054598
9.1549,256.03,512,0.50006,0.0055193
8.9541,252.03,508,0.49612,0.0054759
9.8262,280.64,568,0.49408,0.0054534
9.3429,263.7,534,0.49382,0.0054505
9.9907,281.32,570,0.49354,0.0054474
9.6205,276.46,556,0.49723,0.0054881
10.351,299.2,604,0.49536,0.0054675
10.178,286.72,580,0.49434,0.0054563
9.6371,275.99,558,0.49461,0.0054592
9.415,266.04,538,0.4945,0.005458
9.3355,259.3,524,0.49485,0.0054618
8.7148,243.01,490,0.49594,0.0054739
9.5891,271.6,544,0.49926,0.0055106
10.102,286.08,578,0.49495,0.0054629
9.6977,269.64,546,0.49385,0.0054508
9.9252,282.2,572,0.49336,0.0054454
9.6129,269.11,544,0.49469,0.0054601
9.829,276.6,554,0.49928,0.0055107
9.7449,273.3,552,0.49511,0.0054647
9.5909,271.2,542,0.50037,0.0055228
10.017,285.05,572,0.49834,0.0055004
9.1802,260.74,528,0.49383,0.0054506
10.228,285.96,578,0.49474,0.0054607
9.3153,264.51,530,0.49908,0.0055085
9.3789,260,526,0.4943,0.0054558
9.7755,274.45,554,0.4954,0.0054679
9.6955,273.86,554,0.49433,0.0054561
9.6224,286.31,572,0.50054,0.0055247
9.6046,271.67,544,0.49939,0.005512
9.8154,276.98,560,0.49461,0.0054592
9.9779,281.93,570,0.49461,0.0054593
9.4804,268.49,538,0.49905,0.0055082
10.099,288.3,584,0.49366,0.0054488
9.8328,281.18,568,0.49504,0.0054639
9.2557,262.08,524,0.50015,0.0055204
9.8761,286.96,580,0.49476,0.0054609
9.0437,246.76,498,0.4955,0.0054691
9.706,282.23,570,0.49514,0.0054651
9.628,269.32,544,0.49507,0.0054643
